date,time,ward,location,latitude,longitude,situation
2018-07-03,11:00,南区,南区簾舞606番地付近,42.958047,141.250975,枝折り、フン、被毛を確認
2018-07-04,10:50,南区,南区真駒内394番地2付近,42.9235,141.348797,ヒグマを目撃
2018-07-05,13:00,南区,南区砥山94番地5付近,42.959263,141.247448,枝折り、フン、足跡、掘り跡、被毛を確認
2018-07-06,9:10,南区,南区真駒内135付近の山林,42.960662,141.356263,ヒグマを目撃
2018-07-06,不明,南区,南区自然歩道 中の沢～小林峠・源八沢ルート T4分岐点から砥石山山頂方向へ約200mの地点,43.004172,141.2709,フンを確認
2018-07-07,5:30,南区,南区芸術の森1丁目付近の道路,42.945756,141.342336,"ヒグマを目撃
"
2018-07-07,8:30,南区,南区小金湯566番地付近の道路,42.958933,141.227694,ヒグマを目撃
2018-07-08,7:38,南区,南区藤野534番地付近の道路,42.951627,141.286061,ヒグマを目撃
2018-07-08,14:10,南区,南区石山842番地付近の道路,42.958382,141.338681,ヒグマを目撃
2018-07-09,7:40,南区,南区藤野495番地1付近,42.951128,141.28445,"ヒグマを目撃
（子グマ）"
2018-07-09,8:30,南区,南区藤野484番地付近,42.953167,141.280719,フン、食痕、被毛を確認
2018-07-09,9:00,南区,南区砥山51番地1付近,42.964624,141.252712,足跡、被毛を確認
2018-07-09,20:30,南区,南区砥山94番地付近,42.959477,141.247512,ヒグマを目撃
2018-07-10,14:30,南区,南区白川市民の森 案内看板7番から8番に向かって約250mの地点,42.984251,141.287278,掘り跡を確認
2018-07-10,8:40,南区,南区藤野476番地付近,42.954954,141.279145,フン、食痕、被毛を確認
2018-07-11,18:40,南区,南区簾舞355番地45付近の道路,42.957211,141.268587,"ヒグマを目撃
（親子）"
2018-07-12,7:30,南区,南区簾舞340番地1付近,42.960369,141.265942,足跡、掘り跡、フンを確認
2018-07-12,10:50,南区,南区簾舞40番地付近,42.942786,141.261964,食痕、掘り跡、被毛を確認
2018-07-12,21:18,南区,南区真駒内曙町1丁目付近の国道,43.002152,141.348508,ヒグマを目撃
2018-07-13,14:30,手稲区,手稲区自然歩道 手稲山北尾根ルート 分岐点から滝の沢方向に向かって約300mの地点,43.100194,141.197317,フンを確認
2018-07-14,10:10,南区,南区真駒内公園17番地898付近,42.99857,141.341149,フンを確認
2018-07-17,16:38,南区,南区豊滝674番地1付近,42.955719,141.244899,ヒグマを目撃
2018-07-17,19:45,南区,南区定山渓9番地25付近,42.968622,141.192163,ヒグマを目撃
2018-07-18,7:30,南区,南区常盤177番地1付近,42.91385,141.323613,"ヒグマを目撃
（親子）"
2018-07-19,8:00,南区,南区真駒内柏丘12丁目598番地2付近,42.976592,141.345161,ヒグマを目撃
2018-07-19,16:12,南区,南区藤野6条2丁目427番地6付近,42.952557,141.306995,ヒグマを目撃
2018-07-20,10:10,南区,南区簾舞387番地付近,42.951886,141.258809,"ヒグマを目撃
（親子）"
2018-07-20,8:00,南区,南区藤野6条6丁目16付近,42.951716,141.292244,ヒグマを目撃
2018-07-21,6:40,南区,南区簾舞6条2丁目9番付近,42.95379954,141.2729588,ヒグマを目撃
2018-07-22,17:53,南区,南区真駒内280番地付近,42.938953,141.362734,ヒグマを目撃
2018-07-24,6:15,南区,南区小金湯558番地付近,42.961486,141.223429,ヒグマを目撃
2018-07-27,9:45,南区,南区藤野501番地付近,42.951552,141.286028,ヒグマを目撃
2018-07-28,15:30,南区,南区石山687番地付近,42.943124,141.32415,フンを確認
2018-07-30,18:50,南区,南区石山838番地付近,42.959448,141.338634,"ヒグマを目撃
（2頭）"
2018-07-31,6:45,南区,南区定山渓668番地付近,42.938646,141.150809,ヒグマを目撃
2018-08-02,19:50,南区,南区真駒内229番地2付近,42.939676,141.363021,"ヒグマを目撃
（親子）"
2018-08-03,7:40,南区,南区簾舞611番地2付近,42.956874,141.25044,ヒグマを目撃
2018-08-06,不明,南区,南区豊滝市民の森 案内看板8番から9番に向かって約200mの地点,42.936324,141.23234,掘り跡を確認
2018-08-06,15:40,南区,南区滝野202番地付近,42.911924,141.353356,"ヒグマを目撃
（子グマ）"
2018-08-07,15:33,南区,南区真駒内柏丘12丁目598番地1付近,42.979442,141.344415,ヒグマを目撃
2018-08-08,14:10,南区,南区真駒内17番地1付近,42.991865,141.361369,ヒグマを目撃
2018-08-09,19:30,南区,南区定山渓無番地（中山峠と定山渓トンネルの中間付近）,42.87081756,141.1384123,"ヒグマを目撃
（親子）"
2018-08-13,15:15,南区,南区澄川389番地1052付近,42.988958,141.363128,ヒグマを目撃
2018-08-16,15:50,南区,南区豊滝414番地3付近,42.9556113,141.2432095,ヒグマを目撃
2018-08-17,11:00,南区,南区豊滝466番地2付近,42.946676,141.230184,枝折り、足跡、フン、被毛を確認
2018-08-18,6:55,南区,南区中ノ沢1812番地付近,42.99480473,141.3086647,ヒグマを目撃
2018-08-18,18:25,南区,南区定山渓無番地（中山峠と定山渓トンネルの間やや中山峠寄り）,42.871535,141.126277,ヒグマを目撃
2018-08-20,不明,手稲区,手稲区手稲本町市民の森 案内看板2番から3番に向って約50mの地点,43.108979,141.232829,掘り跡を確認
2018-08-25,6:20,南区,南区藤野6条6丁目5番付近,42.95365,141.2912,食痕を確認
2018-08-26,10:00,南区,南区豊滝90番地1付近,42.943796,141.22817,食痕、フン、足跡、被毛を確認
2018-08-29,22:30,南区,南区石山611番地付近,42.94996591,141.3246294,ヒグマを目撃
2018-08-31,17:36,南区,南区豊滝412番地7付近,42.955059,141.241963,ヒグマを目撃
2018-09-02,19:00,南区,南区白川1814番地415付近,42.972873,141.298581,"ヒグマを目撃
（親子）"
2018-09-18,7:00,中央区,中央区小林峠頂上付近,43.020165,141.292873,ヒグマを目撃
2018-09-24,15:30,南区,南区藤野965番地付近,42.936002,141.304645,フンを確認
